RecordID,Park,Animal,Visitors,TempC,RainfallMM,Season,Detected,ModelScore,VisitDate
1,Kibale,Elephant,32,30.6,125,Dry,Yes,0.86,12/12/2024
2,Kibale,Leopard,64,28,16,Dry,Yes,0.61,9/15/2024
3,Lake Mburo,Elephant,307,21.4,279,Wet,Yes,0.72,5/22/2024
4,Mgahinga,Chimpanzee,23,30.9,81,Wet,No,0.64,4/20/2024
5,Mgahinga,Gorilla,72,19.6,49,Wet,No,0.8,1/23/2024
6,Kibale,Buffalo,294,20.1,193,Dry,No,0.91,11/12/2024
7,Mgahinga,Gorilla,315,21.3,35,Dry,Yes,0.88,2/10/2024
8,Mgahinga,Lion,463,19.7,142,Wet,No,0.58,6/30/2024
9,Queen Elizabeth,Hippo,156,29.9,36,Dry,Yes,0.58,7/13/2024
10,Kidepo,Hippo,372,27.5,166,Dry,Yes,0.9,6/10/2024
11,Bwindi,,53,21.6,290,Wet,Yes,0.82,7/21/2024
12,Kibale,Buffalo,93,22.5,126,Wet,No,0.94,7/23/2024
13,Kidepo,Lion,90,26.7,46,Dry,Yes,0.57,3/22/2024
14,Mgahinga,Hippo,236,28.1,197,Wet,No,0.76,10/10/2024
15,Mgahinga,Elephant,368,30.3,274,Wet,No,0.55,8/10/2024
16,Queen Elizabeth,Buffalo,21,34.2,134,Dry,Yes,0.93,6/1/2024
17,Mgahinga,Hippo,279,28.4,78,Wet,Yes,0.76,9/28/2024
18,Murchison Falls,Leopard,185,26.3,57,Wet,No,0.62,5/3/2024
19,Lake Mburo,Elephant,63,30.4,35,Dry,Yes,0.82,10/8/2024
20,Queen Elizabeth,Gorilla,290,32.8,216,Dry,Yes,0.85,7/23/2024
21,Kibale,Hippo,many,25.4,264,Wet,Yes,0.62,2/2/2024
22,Kidepo,Elephant,321,27.4,112,Dry,Yes,0.85,1/31/2024
23,Queen Elizabeth,Elephant,483,18.5,169,Dry,Yes,0.64,9/5/2024
24,Queen Elizabeth,Leopard,87,30.3,292,Wet,Yes,0.88,7/27/2024
25,Queen Elizabeth,Elephant,69,29.2,181,Wet,No,0.73,1/28/2024
26,Kibale,Hippo,350,19.7,206,Wet,Yes,0.62,4/7/2024
27,Lake Mburo,Buffalo,91,25.2,142,Wet,Yes,0.93,2/8/2024
28,Bwindi,Chimpanzee,461,32.6,50,Dry,Yes,0.97,5/1/2024
29,Queen Elizabeth,Buffalo,268,26.2,205,Dry,Yes,0.69,7/18/2024
30,Kidepo,Chimpanzee,421,25.7,216,Wet,Yes,0.59,4/21/2024
31,Murchison Falls,Leopard,396,27.2,160,Dry,Yes,0.79,9/14/2024
32,Mgahinga,Leopard,100,19,260,Dry,Yes,0.53,2/4/2024
33,Kibale,Chimpanzee,140,24.9,291,Dry,Yes,0.8,8/2/2024
34,Kibale,Leopard,309,26.9,133,Dry,No,0.62,7/21/2024
35,Queen Elizabeth,Hippo,350,23.1,161,Dry,Yes,0.72,10/15/2024
36,Murchison Falls,Elephant,295,21.6,135,Dry,No,0.93,5/5/2024
37,Kidepo,Gorilla,100,25.4,278,Wet,Yes,0.83,10/10/2024
38,Kidepo,Hippo,73,34,68,Wet,Yes,0.94,10/10/2024
39,Queen Elizabeth,Gorilla,164,28.3,175,Dry,No,0.75,5/8/2024
40,Mgahinga,Elephant,67,28.8,141,Dry,Yes,0.66,3/7/2024
41,Kibale,Gorilla,102,hot,282,Wet,Yes,0.55,12/19/2024
42,Queen Elizabeth,Leopard,38,32.2,298,Dry,No,0.56,6/6/2024
43,Kidepo,Chimpanzee,460,18.7,183,Dry,Yes,0.83,6/30/2024
44,Mgahinga,Leopard,472,32.9,79,Dry,Yes,0.98,3/31/2024
45,Bwindi,Elephant,111,30.5,170,Wet,Yes,0.63,12/25/2024
46,Murchison Falls,Buffalo,466,18.7,240,Dry,Yes,0.9,8/23/2024
47,Kidepo,Gorilla,440,31.5,116,Dry,Yes,0.82,7/23/2024
48,Kidepo,Gorilla,462,19.2,142,Wet,No,0.83,10/1/2024
49,Kidepo,Elephant,79,32.9,133,Dry,No,0.52,11/1/2024
50,Bwindi,Gorilla,393,31.4,223,Dry,No,0.94,4/7/2024
51,Kidepo,Elephant,382,25.4,266,Dry,No,0.71,12/6/2024
52,Kidepo,Leopard,180,29.3,63,Wet,No,0.83,6/16/2024
53,Bwindi,Hippo,171,27.4,98,Wet,No,0.83,3/30/2024
54,Lake Mburo,Leopard,174,24.9,0,Wet,No,0.6,10/23/2024
55,Lake Mburo,Hippo,184,25.9,226,Dry,No,0.89,3/27/2024
56,Kibale,Elephant,165,26.8,171,Dry,Yes,0.83,4/25/2024
57,Mgahinga,Lion,95,18.4,125,Wet,Yes,0.72,11/18/2024
58,Lake Mburo,Lion,387,29.8,253,Wet,Yes,0.57,12/18/2024
